id,MovieName,Genre,Directors,Stars,Overviews,Watch_time,Year_of_Release,Meta_Score,Votes,Gross_Collection(M$)
,Rocketry: The Nambi Effect,"Biography, Drama",Madhavan,"Madhavan, Simran, Rajit Kapoor, Ravi Raghavendra","Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him.",140,2021,59,47591,16.94
,The Legend of Maula Jatt,"Action, Drama, Fantasy",Bilal Lashari,"Fawad Khan, Mahira Khan, Humaima Malik, Hamza Ali Abbasi","From times untold where legends are written in soil with blood, a hero is born. Maula Jatt, a fierce prizefighter with a tortured past seeks vengeance against his arch nemesis Noori Natt, the most feared warrior in the land of Punjab.",86,1980,59,47591,16.94
,Soorarai Pottru,"Action, Drama",Sudha Kongara,"Suriya, Paresh Rawal, Aparna Balamurali, Urvashi","Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",101,1985,59,47591,16.94
,Pariyerum Perumal,Drama,Mari Selvaraj,"Kathir, Anandhi, Yogi Babu, Lijeesh","A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.",83,1978,59,47591,16.94
,Toma,"Biography, Drama, Music",Dragan Bjelogrlic,"Zoran Lisinac, Milan Maric, Tamara Dragicevic, Petar Bencina, Andrija Kuzmanovic","Biopic about Toma Zdravkovic, the man who is remembered not only for his songs and the unique way he sang them, but also as a bohemian, both in his behavior and his soul.",90,1977,59,47591,16.94
,Ko to tamo peva,"Adventure, Comedy, Drama",Slobodan Sijan,"Pavle Vuisic, Dragan Nikolic, Danilo 'Bata' Stojkovic, Aleksandar Bercek","It's April 5, 1941, somewhere in Serbia. A group of people go on a bus to Belgrade, on a journey that will change their lives forever.",147,2018,59,47591,16.94
,Zügürt Aga,"Comedy, Drama",Nesli Çölgeçen,"Sener Sen, Erdal Özyagcilar, Nilgün Nazli, Füsun Demirel",The landlord of a village in eastern Turkey decides to sell his land after a severe drought and migrates to Istanbul with his family. However the struggle for survival in the 'big city' will not be easier for them.,95,1978,59,47591,16.94
,Kibar Feyzo,"Comedy, Drama",Atif Yilmaz,"Kemal Sunal, Müjde Ar, Adile Nasit, Sener Sen","A poor peasant, Feyzo returns from military service dreaming about getting married to Gülo, the love of his life. However, he has to face many obstacles. According to tradition, a man has ...                ",189,1999,61,1326410,136.8
,Saban Oglu Saban,"Comedy, Crime, Mystery",Ertem Egilmez,"Kemal Sunal, Halit Akçatepe, Sener Sen, Adile Nasit","Husamettin the commander in the army is constantly bothered by the stupidity of one of his soldiers Saban. After discharge from the army, Saban and his friend Ramazan work in a night club ...                ",137,1991,75,1117130,204.84
,Peranbu,Drama,Ram,"Mammootty, Sadhana, Anjali, Anjali Ameer","A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality.",127,1995,65,1685996,100.13
,Neseli Günler,"Comedy, Drama, Family",Orhan Aksoy,"Münir Özkul, Adile Nasit, Sener Sen, Aysen Gruda",A mid-aged couple with 6 kids who are running a pickle shop gets divorced with 3 kids each. The family members find each other years later with a funny story.,169,1998,91,1415489,216.54
497,The Green Mile,"Crime, Drama, Fantasy",Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt","A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution.",118,1991,86,1458798,130.74
280,Terminator 2: Judgment Day,"Action, Sci-Fi",James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",121,1977,90,1385746,322.74
807,Se7en,"Crime, Drama, Mystery",David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",125,2001,96,782975,10.06
857,Saving Private Ryan,"Drama, War",Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",130,2002,79,767342,7.56
274,The Silence of the Lambs,"Crime, Drama, Thriller",Jonathan Demme,"Jodie Foster, Anthony Hopkins, Lawrence A. Bonney, Kasi Lemmons","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",116,1997,59,707357,57.6
11,Star Wars,"Action, Adventure, Fantasy",George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",207,1954,98,351150,0.27
,Sen to Chihiro no kamikakushi,"Animation, Adventure, Family",Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.",130,1946,89,47591,16.94
