JobType,PositionLevel,Location,WorkingExperience,Qualification,min_age,max_age,Salary_min,Salary_max
Full Time,Senior Executive,Phnom Penh,5,Bachelor,25.0,60.0,1001.0,1500.0
Full Time,Non-Executive,Phnom Penh,1,Bachelor,22.0,35.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,0,Bacc2,20.0,40.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,1,Associate,24.0,36.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,23.0,40.0,501.0,1000.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,22.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,0,Bachelor,18.0,50.0,501.0,1000.0
Full Time,Junior Executive,Phnom Penh,0,Bachelor,18.0,50.0,501.0,1000.0
Full Time,Senior Executive,Phnom Penh,1,Bacc2,18.0,35.0,201.0,500.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,25.0,38.0,501.0,1000.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,27.0,38.0,501.0,1000.0
Full Time,Non-Executive,Phnom Penh,0,Bachelor,22.0,26.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Associate,18.0,30.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,30.0,501.0,1000.0
Full Time,Non-Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,21.0,50.0,201.0,500.0
Full Time,Senior Manager,Kandal,5,Bachelor,25.0,35.0,501.0,1000.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,0,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,1,Bachelor,22.0,35.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,50.0,501.0,1000.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,50.0,501.0,1000.0
Full Time,Junior Executive,Phnom Penh,0,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Kampong Cham,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bacc2,20.0,35.0,201.0,500.0
Full Time,Senior Executive,Siem Reap,2,Bachelor,18.0,50.0,501.0,1000.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,20.0,28.0,201.0,500.0
Full Time,Junior Executive,Preah Sihanouk,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Senior Executive,Phnom Penh,2,Associate,25.0,48.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Diploma,18.0,30.0,201.0,500.0
